date;time;temperature;humidite;pyrano;v_vent;d_vent;precipitation;vpd;eto_index
2018-01-06;14:15:00;15.88617;61.99741;2000;4.473945;320.6574;0;0.65;99999.9
2018-01-06;14:30:00;15.70306;62.07065;2000;5.694667;74.09842;0;0.65;99999.9
2018-01-06;14:45:00;15.66186;61.37331;2000;4.586862;297.322;0;0.65;99999.9
2018-01-06;15:00:00;15.98688;60.87587;2000;3.393607;318.8995;0;0.65;1.16
2018-01-06;15:15:00;15.8587;62.99687;2000;4.116884;323.5908;0;0.66;99999.9
2018-01-06;15:30:00;15.76409;64.31983;2000;3.939879;252.239;0;0.66;99999.9
2018-01-06;15:45:00;15.70306;65.16518;1989.898;4.101625;286.5278;0;0.66;99999.9
2018-01-06;16:00:00;15.5993;65.26742;1930.632;3.900206;271.1852;0;0.66;1.19
2018-01-06;16:15:00;15.11253;68.05676;2000;2.209506;332.1108;0;0.57;99999.9
2018-01-06;16:30:00;14.87602;67.61578;2000;3.46685;282.9737;0;0.57;99999.9
2018-01-06;16:45:00;14.82109;66.7979;1958.526;3.613336;285.0941;0;0.57;99999.9
2018-01-06;17:00:00;14.61967;66.70176;2000;4.705883;293.0483;0;0.57;1.17
2018-01-06;17:15:00;14.24888;68.83498;1992.889;1.599146;292.5923;0;0.49;99999.9
2018-01-06;17:30:00;13.88876;70.34715;1687.892;2.722209;262.8574;0;0.49;99999.9
2018-01-06;17:45:00;13.6141;73.40658;1710.018;3.024338;225.2287;0;0.49;99999.9
2018-01-06;18:00:00;13.4966;73.95132;1610.498;2.829023;237.1105;0;0.49;1.08
2018-01-06;18:15:00;13.36538;72.97169;400;1.96231;230.6505;0;0.37;99999.9
2018-01-06;18:30:00;13.14412;74.04135;0;0.6042573;225.9428;0;0.37;99999.9
2018-01-06;18:45:00;12.51087;82.18356;0;0.1037613;215.5056;0;0.37;99999.9
2018-01-06;19:00:00;12.27893;85.0721;0;0.1068132;209.5344;0;0.37;0.32
2018-01-06;19:15:00;12.37202;84.68758;0;0.1068132;206.0407;0;0.22;99999.9
2018-01-06;19:30:00;12.54292;83.75677;0;0.1068132;197.7404;0;0.22;99999.9
2018-01-06;19:45:00;12.58869;84.28779;0;0.2380407;213.7368;0;0.22;99999.9
2018-01-06;20:00:00;12.73976;81.70291;0;1.37026;220.3836;0;0.22;0
2018-01-06;20:15:00;12.37202;83.68506;0;6.436255;224.553;2.4;0.21;99999.9
2018-01-06;20:30:00;12.12329;86.48813;0;5.325398;181.0904;0;0.21;99999.9
2018-01-06;20:45:00;11.92645;88.13916;0;4.36408;236.6161;0.4;0.21;99999.9
2018-01-06;21:00:00;11.70061;92.21333;0;0.280766;212.0449;0.4;0.21;0
2018-01-06;21:15:00;11.59991;94.25346;0;0.3234913;210.2101;1.6;0.08;99999.9
2018-01-06;21:30:00;11.44884;95.26817;0;4.528878;215.9725;1.8;0.08;99999.9
2018-01-06;21:45:00;11.5053;95.41772;0;5.029374;218.2248;0.2;0.08;99999.9
2018-01-06;22:00:00;11.59991;95.72594;0;1.611353;202.3548;0;0.08;0
2018-01-06;22:15:00;11.61517;95.49249;0;0.9796292;233.5509;1.6;0.07;99999.9
2018-01-06;22:30:00;11.66094;94.82262;0;3.033494;276.206;4;0.07;99999.9
2018-01-06;22:45:00;11.33135;93.11513;0;3.51873;249.6901;0.2;0.07;99999.9
2018-01-06;23:00:00;11.0872;93.84756;0;8.7953;219.5047;0;0.07;0
2018-01-06;23:15:00;11.2871;95.20561;0;6.894026;208.0787;0;0.11;99999.9
2018-01-06;23:30:00;11.38933;95.50469;0;2.789349;224.2124;0;0.11;99999.9
2018-01-06;23:45:00;10.98497;96.41412;0;0.1068132;206.2055;0;0.11;99999.9
2018-01-07;00:00:00;11.3283;91.71588;0;3.002975;328.5951;0.6;0.11;99999.9
2018-01-07;00:15:00;11.00633;90.75608;0;1.074235;329.1993;1.4;0.11;99999.9
2018-01-07;00:30:00;11.08263;92.4651;0;0.2136263;292.9439;0;0.11;99999.9
2018-01-07;00:45:00;11.20317;92.5185;0;0.5249103;229.3211;0;0.11;99999.9
2018-01-07;01:00:00;10.87968;93.73923;0;0.1068132;212.369;0;0.11;0
2018-01-07;01:15:00;10.38071;95.43755;0;0.1068132;208.4083;0.2;0.09;99999.9
2018-01-07;01:30:00;10.28916;96.46143;0;0.4150454;222.1414;0;0.09;99999.9
2018-01-07;01:45:00;11.74945;87.01915;0;1.760891;313.181;0;0.09;99999.9
2018-01-07;02:00:00;11.96613;86.71245;0;0.1068132;306.0618;0;0.09;0
2018-01-07;02:15:00;11.33593;91.96918;0;0.1068132;305.8201;0;0.14;99999.9
2018-01-07;02:30:00;10.69657;92.89693;0;0.2136263;251.9313;0;0.14;99999.9
2018-01-07;02:45:00;11.90662;85.98764;533.3334;0.1037613;301.7606;0;0.14;99999.9
2018-01-07;03:00:00;12.28656;80.36164;133.3333;1.800565;339.0323;0;0.14;0.1
2018-01-07;03:15:00;12.80232;76.58503;1692.195;4.562448;350.4912;0;0.3;99999.9
2018-01-07;03:30:00;11.9173;79.48119;0;5.471885;0.8844129;0;0.3;99999.9
2018-01-07;03:45:00;11.61822;79.18822;0;6.124971;331.8416;0.4;0.3;99999.9
2018-01-07;04:00:00;10.97124;82.80918;0;0.3875792;272.119;0;0.3;0.26
2018-01-07;04:15:00;10.43564;87.5639;0;0.1068132;257.1719;0;0.17;99999.9
2018-01-07;04:30:00;10.22965;89.57809;0;3.125048;245.647;1;0.17;99999.9
2018-01-07;04:45:00;10.46463;86.56596;0;1.074235;322.97;0;0.17;99999.9
2018-01-07;05:00:00;10.07248;87.90112;0;0.1037613;306.2431;0;0.17;0
2018-01-07;05:15:00;10.27237;88.57863;0;0.1068132;222.4271;0;0.16;99999.9
2018-01-07;05:30:00;10.37003;89.30953;0;0.1068132;291.8288;0;0.16;99999.9
2018-01-07;05:45:00;10.86137;83.85901;0;0.6561379;325.42;0;0.16;99999.9
2018-01-07;06:00:00;11.30083;79.62005;0;0.5523766;311.5111;0;0.16;0
2018-01-07;06:15:00;11.10399;81.02693;0;0.8850232;304.4468;0;0.26;99999.9
2018-01-07;06:30:00;10.96971;81.64798;0;1.614404;295.2895;0;0.26;99999.9
2018-01-07;06:45:00;11.16045;78.16281;0;3.588922;326.1451;0;0.26;99999.9
2018-01-07;07:00:00;11.08415;76.6659;0;1.162737;338.5818;0;0.26;0
2018-01-07;07:15:00;10.73624;77.65316;0;0.9277486;331.8801;0;0.29;99999.9
2018-01-07;07:30:00;10.68284;79.04021;0;1.644922;340.7462;0;0.29;99999.9
2018-01-07;07:45:00;10.87968;76.30426;1307.729;3.457694;289.3239;0;0.29;99999.9
2018-01-07;08:00:00;10.41886;77.61501;2000;0.2044709;338.1149;0;0.29;0.2
2018-01-07;08:15:00;10.27237;78.84489;2000;0.3540093;308.1547;0;0.37;99999.9
2018-01-07;08:30:00;10.62028;78.56107;2000;0.1007095;313.236;0;0.37;99999.9
2018-01-07;08:45:00;11.42138;74.21835;2000;1.339742;330.1442;0;0.37;99999.9
2018-01-07;09:00:00;12.00122;71.25963;2000;0.9277486;322.8217;0;0.3;1.16
2018-01-07;09:15:00;12.4712;70.15488;2000;0.09765774;328.4907;0;0.46;99999.9
2018-01-07;09:30:00;13.01137;68.36958;2000;0.3082322;338.9719;0;0.46;99999.9
2018-01-07;09:45:00;13.42947;64.80659;2000;2.340734;318.0261;0;0.46;99999.9
2018-01-07;10:00:00;13.61105;63.03349;2000;4.959182;332.4514;0;0.46;1.2
2018-01-07;10:15:00;13.81704;62.75273;2000;2.789349;314.1863;0;0.6;99999.9
2018-01-07;10:30:00;14.18021;62.83207;2000;0.8026245;317.8997;0;0.6;99999.9
2018-01-07;10:45:00;14.4152;60.95064;1991.638;1.72427;353.6828;0;0.6;99999.9
2018-01-07;11:00:00;14.81804;59.14244;1986.419;1.937896;309.7917;0;0.6;1.18
2018-01-07;11:15:00;14.77684;59.60479;1959.258;2.111849;312.6976;0;0.71;99999.9
2018-01-07;11:30:00;14.54338;57.14351;1956.084;4.528878;334.5553;0;0.71;99999.9
